Specific Character Set,ISO_IR 100
Image Type,ORIGINAL
Image Type,PRIMARY
Image Type,M
Image Type,ND
Image Type,NORM
SOP Class UID,1.2.840.10008.5.1.4.1.1.4
Modality,MR
Manufacturer,SIEMENS
Series Description,mprage_5e
Manufacturer Model Name,TrioTim
Scanning Sequence,GR
Scanning Sequence,IR
Sequence Variant,SP
Sequence Variant,MP
Scan Options,IR
MR Acquisition Type,3D
Sequence Name,tfl3d5_ns
Angio Flag,N
Slice Thickness,1
Repetition Time,2530
Echo Time,1.64
Number Of Averages,1
Imaged Nucleus,1H
Echo Numbers,1
Magnetic Field Strength,3
Number Of Phase Encoding Steps,255
Echo Train Length,1
Percent Sampling,100
Percent Phase Field Of View,100
Pixel Bandwidth,650
Device Serial Number,35245
Software Versions,syngo MR B15
Protocol Name,mprage_5e
Transmit Coil Name,Body
Acquisition Matrix,0
Acquisition Matrix,256
Acquisition Matrix,256
Acquisition Matrix,0
In Plane Phase Encoding Direction,ROW
Flip Angle,7
Variable Flip Angle Flag,N
dBdt,0
Patient Position,HFS
Series Number,3
Acquisition Number,1
Instance Number,1
Samples Per Pixel,1
Photometric Interpretation,MONOCHROME2
Rows,256
Columns,256
Pixel Spacing,1
Pixel Spacing,1
Bits Allocated,16
Bits Stored,12
High Bit,11
Pixel Representation,0
Window Center Width Explanation,Algo1
